lang_code,total_bleu,avg_bleu
ar,74.32761,0.383132
az,88.440143,0.460626
bn,81.570054,0.416174
cs,88.596968,0.449731
en,159.801995,0.807081
es,106.105953,0.544133
fr,90.824272,0.465765
hi,72.854605,0.379451
id_casual,108.397329,0.555884
id_formal,103.85955,0.527206
it,106.492514,0.54893
ja_casual,75.377541,0.384579
ja_formal,75.814927,0.38098
jv_krama,108.455913,0.561948
jv_ngoko,118.17968,0.60605
ko_casual,79.207348,0.402068
ko_formal,77.415021,0.397
mr,75.9436,0.39349
nan,104.891315,0.53516
nan_spoken,107.078033,0.53539
ru_casual,89.75072,0.451009
ru_formal,81.028682,0.419838
sc,105.336998,0.551503
si_formal_spoken,82.141472,0.425603
su_loma,116.149683,0.5926
th,86.202553,0.437576
tl,117.054374,0.619335
yo,95.527192,0.497537
yue,81.498869,0.420097
zh_cn,81.295064,0.412665
